algorithm,instance,instance size,pop size,trunc size,max iters,iteration,best fitness,elapsed time in secs
rk-eda,tai100_10_8,100,1000,300,1000000,1000000,358904,4663
rk-eda,tai100_10_8,100,10000,5000,1000000,1000000,355641,45730
rk-eda,tai50_10_9,50,500,100,250000,250000,103109,550
rk-eda,tai50_10_9,50,50,15,250000,250000,104487,32
rk-eda,tai100_10_8,100,1000,200,1000000,1000000,359050,4986
rk-eda,tai20_20_8,20,2000,600,40000,40000,35391,271
rk-eda,tai20_5_8,20,2000,600,40000,40000,15646,94
rk-eda,N-be75eec,50,5000,1000,250000,250000,208009,4415
rk-eda,tai20_5_8,20,2000,600,40000,40000,15546,98
rk-eda,tai100_10_8,100,1000,500,1000000,1000000,358577,4721
rk-eda,tai50_10_9,50,5000,1500,250000,250000,102046,6243
rk-eda,tai100_10_8,100,1000,200,1000000,1000000,359383,6083
rk-eda,tai100_10_8,100,1000,500,1000000,1000000,360882,4725
rk-eda,N-be75eec,50,5000,1500,250000,250000,208765,4537
rk-eda,tai50_10_9,50,5000,1000,250000,250000,102123,3167
rk-eda,N-be75eec,50,500,250,250000,250000,203370,250
rk-eda,tai50_10_9,50,500,150,250000,250000,103037,639
rk-eda,tai20_20_8,20,2000,1000,40000,40000,35201,179
rk-eda,tai100_10_8,100,100,30,1000000,1000000,361045,992
rk-eda,tai20_5_8,20,2000,600,40000,40000,15734,98
rk-eda,tai20_20_8,20,20,6,40000,40000,35898,2
rk-eda,tai20_20_8,20,2000,600,40000,40000,35358,154
rk-eda,N-be75eec,50,5000,1000,250000,250000,206898,2655
rk-eda,tai20_5_8,20,200,100,40000,40000,16048,10
rk-eda,tai100_10_8,100,100,30,1000000,1000000,362321,614
rk-eda,tai20_20_8,20,20,10,40000,40000,36444,2
rk-eda,tai20_5_8,20,20,4,40000,40000,16384,1
rk-eda,N-stabu70,60,60,12,360000,360000,294230,60
rk-eda,N-be75eec,50,5000,2500,250000,250000,205144,2433
rk-eda,tai20_5_8,20,2000,1000,40000,40000,15272,100
rk-eda,tai20_20_8,20,2000,400,40000,40000,35168,155
rk-eda,tai50_10_9,50,50,25,250000,250000,104085,58
rk-eda,tai20_20_8,20,2000,400,40000,40000,35093,154
rk-eda,tai20_20_8,20,200,60,40000,40000,35837,26
rk-eda,tai50_10_9,50,5000,1500,250000,250000,101858,3141
rk-eda,tai20_5_8,20,200,40,40000,40000,15920,10
rk-eda,tai20_20_8,20,20,6,40000,40000,36778,3
rk-eda,tai20_20_8,20,20,10,40000,40000,36155,1
rk-eda,N-stabu70,60,60,18,360000,360000,297705,61
rk-eda,tai20_5_8,20,20,6,40000,40000,16059,1
rk-eda,N-stabu70,60,600,180,360000,360000,296706,921
rk-eda,N-be75eec,50,5000,1500,250000,250000,207250,2498
rk-eda,N-stabu70,60,60,18,360000,360000,292767,91
rk-eda,N-be75eec,50,500,100,250000,250000,204549,465
rk-eda,N-stabu70,60,60,12,360000,360000,292215,60
rk-eda,tai50_10_9,50,5000,1000,250000,250000,102188,3118
rk-eda,tai50_10_9,50,50,10,250000,250000,103780,67
rk-eda,N-be75eec,50,5000,1000,250000,250000,206844,2476
rk-eda,tai20_20_8,20,2000,600,40000,40000,35381,274
rk-eda,N-be75eec,50,500,150,250000,250000,203190,434
rk-eda,tai20_20_8,20,20,6,40000,40000,36055,2
rk-eda,tai20_20_8,20,20,10,40000,40000,36326,2
rk-eda,N-stabu70,60,6000,3000,360000,360000,306762,5713
rk-eda,N-stabu70,60,6000,3000,360000,360000,302173,5687
rk-eda,tai20_20_8,20,200,60,40000,40000,35317,15
rk-eda,tai20_20_8,20,2000,1000,40000,40000,35452,155
rk-eda,N-be75eec,50,50,10,250000,250000,202339,43
rk-eda,tai100_10_8,100,1000,200,1000000,1000000,358995,9473
rk-eda,tai100_10_8,100,1000,300,1000000,1000000,357913,9492
rk-eda,N-stabu70,60,60,30,360000,360000,287284,62
rk-eda,N-stabu70,60,60,18,360000,360000,291226,62
rk-eda,tai20_5_8,20,200,100,40000,40000,16069,10
rk-eda,N-be75eec,50,50,15,250000,250000,200863,51
rk-eda,tai50_10_9,50,50,25,250000,250000,105367,64
rk-eda,tai20_20_8,20,200,60,40000,40000,35553,26
rk-eda,N-be75eec,50,500,100,250000,250000,203123,274
rk-eda,tai100_10_8,100,10000,2000,1000000,1000000,356008,44854
rk-eda,tai20_5_8,20,20,10,40000,40000,16181,1
rk-eda,tai100_10_8,100,100,20,1000000,1000000,363442,496
