algorithm,instance,instance size,pop size,trunc size,max iters,iteration,best fitness,elapsed time in secs
rk-eda,tai20_5_8,20,20,6,40000,40000,16189,1
rk-eda,tai20_5_8,20,200,60,40000,40000,15856,10
rk-eda,tai20_5_8,20,20,6,40000,40000,16224,1
rk-eda,tai20_20_8,20,2000,600,40000,40000,35267,151
rk-eda,tai50_10_9,50,500,100,250000,250000,103709,322
rk-eda,tai50_10_9,50,500,250,250000,250000,103818,328
rk-eda,tai20_20_8,20,2000,400,40000,40000,35205,151
rk-eda,tai20_5_8,20,2000,1000,40000,40000,15677,93
rk-eda,tai50_10_9,50,50,15,250000,250000,103454,33
rk-eda,tai20_20_8,20,200,60,40000,40000,35753,15
rk-eda,tai20_20_8,20,200,100,40000,40000,35435,15
rk-eda,tai100_10_9,100,10000,2000,1000000,1000000,352531,56854
rk-eda,tai20_5_8,20,200,100,40000,40000,15690,10
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1241205,78865
rk-eda,tai20_5_8,20,20,4,40000,40000,15945,1
rk-eda,tai100_10_9,100,1000,300,1000000,1000000,351705,10086
rk-eda,tai20_20_8,20,200,100,40000,40000,35696,14
rk-eda,tai100_10_9,100,100,50,1000000,1000000,352880,875
rk-eda,tai100_10_9,100,10000,3000,1000000,1000000,352701,46440
rk-eda,tai50_10_9,50,5000,2500,250000,250000,102715,3014
rk-eda,tai100_10_9,100,10000,3000,1000000,1000000,347911,86555
rk-eda,tai20_5_8,20,2000,400,40000,40000,15413,100
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1249438,78342
rk-eda,tai50_10_9,50,500,150,250000,250000,103353,572
rk-eda,tai50_10_9,50,50,25,250000,250000,105941,32
rk-eda,tai50_10_9,50,5000,1000,250000,250000,102293,3222
rk-eda,tai20_20_8,20,20,6,40000,40000,36247,1
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1252414,13367
rk-eda,tai50_10_9,50,5000,1500,250000,250000,102620,5616
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1260664,7671
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1250981,124906
rk-eda,tai100_10_9,100,100,20,1000000,1000000,357592,1023
rk-eda,tai50_10_9,50,5000,1500,250000,250000,101569,3244
rk-eda,tai100_10_9,100,100,20,1000000,1000000,356311,522
rk-eda,tai100_10_9,100,10000,5000,1000000,1000000,353467,45978
rk-eda,tai20_20_8,20,2000,600,40000,40000,35227,151
rk-eda,tai100_10_9,100,10000,5000,1000000,1000000,352570,49258
rk-eda,tai20_5_8,20,20,10,40000,40000,16472,1
rk-eda,tai100_10_9,100,100,20,1000000,1000000,354342,748
rk-eda,tai100_10_9,100,10000,3000,1000000,1000000,349522,46666
rk-eda,tai20_20_8,20,20,4,40000,40000,35897,2
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1250597,125517
rk-eda,tai50_10_9,50,50,25,250000,250000,104419,34
rk-eda,tai20_5_8,20,2000,1000,40000,40000,15633,54
rk-eda,tai50_10_9,50,50,25,250000,250000,104968,32
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1254854,13525
rk-eda,tai20_5_8,20,200,100,40000,40000,15987,10
rk-eda,tai50_10_9,50,50,15,250000,250000,104131,32
rk-eda,tai100_10_9,100,100,20,1000000,1000000,354303,1059
rk-eda,tai20_20_8,20,2000,1000,40000,40000,35274,153
rk-eda,tai200_10_9,200,200,100,4000000,4000000,1258138,7633
rk-eda,tai50_10_9,50,5000,2500,250000,250000,101632,3332
rk-eda,tai20_20_8,20,2000,400,40000,40000,34975,273
rk-eda,tai100_10_9,100,100,50,1000000,1000000,353516,997
rk-eda,tai20_5_8,20,2000,600,40000,40000,15666,104
rk-eda,tai100_10_9,100,100,30,1000000,1000000,356903,887
rk-eda,tai20_5_8,20,20,6,40000,40000,16148,1
rk-eda,tai20_5_8,20,20,6,40000,40000,16148,1
rk-eda,tai200_10_9,200,200,100,4000000,4000000,1259050,13235
rk-eda,tai50_10_9,50,500,150,250000,250000,103695,317
rk-eda,tai20_20_8,20,200,40,40000,40000,35288,15
rk-eda,tai50_10_9,50,50,25,250000,250000,104273,33
rk-eda,tai20_20_8,20,200,40,40000,40000,35487,15
rk-eda,tai50_10_9,50,5000,1000,250000,250000,102043,3223
rk-eda,tai100_10_9,100,1000,200,1000000,1000000,352546,4869
rk-eda,tai20_5_8,20,20,6,40000,40000,16404,1
rk-eda,tai50_10_9,50,5000,2500,250000,250000,102051,3266
rk-eda,tai20_20_8,20,2000,600,40000,40000,35005,274
rk-eda,tai20_5_8,20,2000,1000,40000,40000,15227,56
rk-eda,tai20_20_8,20,200,100,40000,40000,35475,27
rk-eda,tai50_10_9,50,500,100,250000,250000,103944,331
rk-eda,tai200_10_9,200,200,40,4000000,4000000,1257784,7613
rk-eda,tai100_10_9,100,1000,300,1000000,1000000,353390,5020
rk-eda,tai20_20_8,20,20,6,40000,40000,35687,2
rk-eda,tai50_10_9,50,5000,1500,250000,250000,102191,3224
rk-eda,tai20_5_8,20,20,10,40000,40000,16263,1
rk-eda,tai50_10_9,50,500,250,250000,250000,103790,571
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1253450,124825
rk-eda,tai20_5_8,20,200,40,40000,40000,15865,6
rk-eda,tai50_10_9,50,5000,1000,250000,250000,101720,3152
rk-eda,tai20_20_8,20,2000,1000,40000,40000,35614,152
rk-eda,tai20_20_8,20,20,4,40000,40000,35842,1
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1259086,7931
rk-eda,tai50_10_9,50,50,10,250000,250000,103234,33
rk-eda,tai100_10_9,100,10000,2000,1000000,1000000,349426,83086
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1253053,130142
rk-eda,tai20_5_8,20,20,4,40000,40000,16497,0
rk-eda,tai200_10_9,200,2000,1000,4000000,4000000,1251533,79474
rk-eda,tai20_20_8,20,20,6,40000,40000,35736,1
rk-eda,tai50_10_9,50,50,25,250000,250000,105562,32
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1249264,71793
rk-eda,tai20_20_8,20,20,6,40000,40000,35849,2
rk-eda,tai50_10_9,50,500,150,250000,250000,103838,322
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1239687,71143
rk-eda,tai50_10_9,50,5000,2500,250000,250000,102422,3192
rk-eda,tai50_10_9,50,5000,1000,250000,250000,101973,3241
rk-eda,tai20_20_8,20,20,10,40000,40000,36147,1
rk-eda,tai20_20_8,20,200,100,40000,40000,35296,15
rk-eda,tai20_20_8,20,20,4,40000,40000,35577,2
rk-eda,tai200_10_9,200,200,40,4000000,4000000,1248285,12657
rk-eda,tai100_10_9,100,100,30,1000000,1000000,357039,501
rk-eda,tai200_10_9,200,200,100,4000000,4000000,1263267,13744
rk-eda,tai100_10_9,100,10000,5000,1000000,1000000,347156,76650
rk-eda,tai20_5_8,20,2000,1000,40000,40000,15817,103
rk-eda,tai20_20_8,20,200,40,40000,40000,35580,15
rk-eda,tai20_5_8,20,20,10,40000,40000,15926,1
rk-eda,tai20_5_8,20,200,40,40000,40000,15918,5
rk-eda,tai200_10_9,200,200,100,4000000,4000000,1256362,12594
rk-eda,tai50_10_9,50,5000,2500,250000,250000,102249,3028
rk-eda,tai50_10_9,50,50,10,250000,250000,104822,49
rk-eda,tai100_10_9,100,100,50,1000000,1000000,356538,506
rk-eda,tai50_10_9,50,500,150,250000,250000,102928,561
rk-eda,tai50_10_9,50,5000,1500,250000,250000,102449,3219
rk-eda,tai100_10_9,100,1000,200,1000000,1000000,352159,9002
rk-eda,tai20_5_8,20,200,40,40000,40000,15966,9
rk-eda,tai20_5_8,20,200,40,40000,40000,15925,10
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1248901,71051
rk-eda,tai200_10_9,200,2000,1000,4000000,4000000,1239711,73812
rk-eda,tai20_5_8,20,200,40,40000,40000,15840,9
rk-eda,tai20_5_8,20,2000,400,40000,40000,15528,66
rk-eda,tai20_20_8,20,200,40,40000,40000,35352,27
rk-eda,tai20_5_8,20,2000,400,40000,40000,15655,99
rk-eda,tai20_20_8,20,2000,400,40000,40000,35210,273
rk-eda,tai20_5_8,20,2000,400,40000,40000,15834,102
rk-eda,tai100_10_9,100,10000,5000,1000000,1000000,350580,95243
rk-eda,tai50_10_9,50,500,100,250000,250000,102708,322
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1255454,7931
rk-eda,tai100_10_9,100,10000,5000,1000000,1000000,349157,52721
rk-eda,tai50_10_9,50,50,10,250000,250000,105409,59
rk-eda,tai100_10_9,100,100,20,1000000,1000000,353546,1054
rk-eda,tai50_10_9,50,50,10,250000,250000,105459,32
rk-eda,tai20_20_8,20,20,10,40000,40000,35866,2
rk-eda,tai20_20_8,20,2000,600,40000,40000,35361,275
rk-eda,tai20_5_8,20,2000,600,40000,40000,15750,101
rk-eda,tai100_10_9,100,1000,200,1000000,1000000,353578,5499
rk-eda,tai50_10_9,50,5000,1000,250000,250000,102448,2957
rk-eda,tai20_5_8,20,20,4,40000,40000,16280,0
rk-eda,tai100_10_9,100,100,20,1000000,1000000,357225,496
rk-eda,tai50_10_9,50,50,15,250000,250000,105408,32
rk-eda,tai50_10_9,50,5000,1000,250000,250000,101602,5258
rk-eda,tai20_20_8,20,20,10,40000,40000,36211,2
rk-eda,tai50_10_9,50,50,10,250000,250000,103234,39
rk-eda,tai20_5_8,20,20,10,40000,40000,16360,0
rk-eda,tai20_5_8,20,20,6,40000,40000,15943,1
rk-eda,tai20_20_8,20,2000,1000,40000,40000,35157,153
rk-eda,tai20_20_8,20,200,60,40000,40000,35286,15
rk-eda,tai100_10_9,100,100,20,1000000,1000000,357691,517
rk-eda,tai200_10_9,200,200,40,4000000,4000000,1254347,13250
rk-eda,tai20_20_8,20,20,10,40000,40000,37281,1
rk-eda,tai20_20_8,20,2000,600,40000,40000,35333,278
rk-eda,tai20_20_8,20,2000,400,40000,40000,35203,151
rk-eda,tai50_10_9,50,50,15,250000,250000,104963,33
rk-eda,tai20_5_8,20,20,6,40000,40000,16250,1
rk-eda,tai100_10_9,100,10000,3000,1000000,1000000,349509,44947
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1242341,70659
rk-eda,tai200_10_9,200,2000,1000,4000000,4000000,1247955,80391
rk-eda,tai50_10_9,50,500,250,250000,250000,103737,569
rk-eda,tai50_10_9,50,5000,2500,250000,250000,102860,5645
rk-eda,tai100_10_9,100,10000,2000,1000000,1000000,351718,52040
rk-eda,tai200_10_9,200,2000,1000,4000000,4000000,1244075,79845
rk-eda,tai20_5_8,20,2000,400,40000,40000,15727,67
rk-eda,tai100_10_9,100,1000,500,1000000,1000000,351534,9976
rk-eda,tai100_10_9,100,10000,3000,1000000,1000000,347940,82083
rk-eda,tai20_20_8,20,2000,400,40000,40000,35169,151
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1248001,80313
rk-eda,tai20_20_8,20,2000,1000,40000,40000,35576,154
rk-eda,tai50_10_9,50,50,15,250000,250000,102970,31
rk-eda,tai20_20_8,20,200,100,40000,40000,35821,27
rk-eda,tai20_5_8,20,20,4,40000,40000,16269,1
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1251521,77113
rk-eda,tai20_5_8,20,2000,1000,40000,40000,15213,102
rk-eda,tai50_10_9,50,50,15,250000,250000,105616,33
rk-eda,tai100_10_9,100,10000,5000,1000000,1000000,350122,50951
rk-eda,tai200_10_9,200,2000,1000,4000000,4000000,1252170,79883
rk-eda,tai100_10_9,100,100,30,1000000,1000000,354884,990
rk-eda,tai20_5_8,20,200,100,40000,40000,15967,10
rk-eda,tai50_10_9,50,50,15,250000,250000,104566,31
rk-eda,tai100_10_9,100,1000,500,1000000,1000000,355377,5060
rk-eda,tai50_10_9,50,50,25,250000,250000,106032,32
rk-eda,tai100_10_9,100,1000,500,1000000,1000000,351357,4729
rk-eda,tai20_20_8,20,200,40,40000,40000,35682,14
rk-eda,tai100_10_9,100,100,20,1000000,1000000,355767,515
rk-eda,tai20_20_8,20,20,6,40000,40000,35511,1
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1247945,79551
rk-eda,tai100_10_9,100,100,50,1000000,1000000,361130,1024
rk-eda,tai200_10_9,200,200,40,4000000,4000000,1264045,7597
rk-eda,tai100_10_9,100,1000,500,1000000,1000000,353309,4788
rk-eda,tai20_5_8,20,2000,600,40000,40000,15823,55
rk-eda,tai20_20_8,20,20,10,40000,40000,37113,1
rk-eda,tai20_20_8,20,2000,400,40000,40000,35200,277
rk-eda,tai100_10_9,100,1000,300,1000000,1000000,354375,7678
rk-eda,tai20_20_8,20,2000,1000,40000,40000,35196,272
rk-eda,tai100_10_9,100,1000,500,1000000,1000000,353440,5457
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1253451,130641
rk-eda,tai100_10_9,100,1000,500,1000000,1000000,353496,10245
rk-eda,tai20_5_8,20,200,60,40000,40000,16060,9
rk-eda,tai100_10_9,100,100,50,1000000,1000000,360672,795
rk-eda,tai50_10_9,50,50,10,250000,250000,104199,31
rk-eda,tai20_20_8,20,20,6,40000,40000,35914,1
rk-eda,tai20_5_8,20,200,40,40000,40000,15773,8
rk-eda,tai100_10_9,100,10000,2000,1000000,1000000,350563,96565
rk-eda,tai20_5_8,20,2000,400,40000,40000,15378,70
rk-eda,tai20_5_8,20,2000,600,40000,40000,15638,103
rk-eda,tai100_10_9,100,10000,3000,1000000,1000000,350582,94638
rk-eda,tai20_20_8,20,200,100,40000,40000,36112,27
rk-eda,tai50_10_9,50,5000,1500,250000,250000,101982,3243
rk-eda,tai20_20_8,20,2000,600,40000,40000,35386,151
rk-eda,tai20_5_8,20,20,4,40000,40000,16481,1
rk-eda,tai100_10_9,100,10000,3000,1000000,1000000,351332,95077
rk-eda,tai100_10_9,100,10000,2000,1000000,1000000,350890,48084
rk-eda,tai200_10_9,200,200,40,4000000,4000000,1250511,7494
rk-eda,tai20_5_8,20,200,100,40000,40000,15909,5
rk-eda,tai100_10_9,100,1000,300,1000000,1000000,354071,7817
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1234226,78402
rk-eda,tai200_10_9,200,200,100,4000000,4000000,1264696,8037
rk-eda,tai20_20_8,20,200,60,40000,40000,35404,27
rk-eda,tai20_5_8,20,2000,400,40000,40000,15592,103
rk-eda,tai20_5_8,20,200,60,40000,40000,15900,5
rk-eda,tai50_10_9,50,500,250,250000,250000,103334,320
rk-eda,tai20_5_8,20,20,6,40000,40000,15848,0
rk-eda,tai100_10_9,100,100,50,1000000,1000000,357545,506
rk-eda,tai50_10_9,50,500,100,250000,250000,102632,572
rk-eda,tai20_5_8,20,200,60,40000,40000,15800,10
rk-eda,tai20_5_8,20,200,40,40000,40000,15815,10
rk-eda,tai20_20_8,20,200,40,40000,40000,35455,25
rk-eda,tai100_10_9,100,1000,300,1000000,1000000,352972,8733
rk-eda,tai100_10_9,100,1000,200,1000000,1000000,353257,4834
rk-eda,tai50_10_9,50,500,100,250000,250000,102314,314
rk-eda,tai50_10_9,50,50,10,250000,250000,104194,33
rk-eda,tai100_10_9,100,1000,200,1000000,1000000,351736,10059
rk-eda,tai50_10_9,50,5000,2500,250000,250000,102691,3263
rk-eda,tai200_10_9,200,2000,1000,4000000,4000000,1253446,105910
rk-eda,tai100_10_9,100,1000,200,1000000,1000000,351998,9891
rk-eda,tai50_10_9,50,5000,1500,250000,250000,102237,3242
rk-eda,tai50_10_9,50,5000,2500,250000,250000,102833,3282
rk-eda,tai50_10_9,50,50,25,250000,250000,104948,57
rk-eda,tai20_20_8,20,2000,400,40000,40000,35227,151
rk-eda,tai100_10_9,100,100,20,1000000,1000000,354067,976
rk-eda,tai20_20_8,20,200,40,40000,40000,35373,23
rk-eda,tai50_10_9,50,500,250,250000,250000,103836,320
rk-eda,tai50_10_9,50,500,100,250000,250000,102692,314
rk-eda,tai100_10_9,100,1000,300,1000000,1000000,354220,4718
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1242572,107391
rk-eda,tai100_10_9,100,1000,300,1000000,1000000,352403,8826
rk-eda,tai200_10_9,200,200,40,4000000,4000000,1259606,13428
rk-eda,tai20_5_8,20,200,60,40000,40000,15847,10
rk-eda,tai20_20_8,20,20,4,40000,40000,36006,2
rk-eda,tai20_20_8,20,200,60,40000,40000,35339,15
rk-eda,tai100_10_9,100,100,50,1000000,1000000,355368,506
rk-eda,tai20_5_8,20,2000,400,40000,40000,15655,55
rk-eda,tai100_10_9,100,100,30,1000000,1000000,356370,499
rk-eda,tai20_20_8,20,20,10,40000,40000,35964,1
rk-eda,tai20_20_8,20,200,100,40000,40000,35691,27
rk-eda,tai50_10_9,50,50,15,250000,250000,103652,32
rk-eda,tai50_10_9,50,5000,1000,250000,250000,101128,3164
rk-eda,tai100_10_9,100,100,20,1000000,1000000,355438,497
rk-eda,tai20_20_8,20,200,40,40000,40000,35207,26
rk-eda,tai20_20_8,20,20,4,40000,40000,36002,2
rk-eda,tai20_20_8,20,2000,1000,40000,40000,34980,272
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1251623,70895
rk-eda,tai100_10_9,100,1000,500,1000000,1000000,352008,8249
rk-eda,tai100_10_9,100,1000,200,1000000,1000000,353765,8213
rk-eda,tai20_20_8,20,20,4,40000,40000,35948,1
rk-eda,tai20_5_8,20,20,10,40000,40000,16331,1
rk-eda,tai50_10_9,50,50,25,250000,250000,106293,56
rk-eda,tai200_10_9,200,200,100,4000000,4000000,1256924,13549
rk-eda,tai20_5_8,20,2000,600,40000,40000,15599,53
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1252555,130639
rk-eda,tai50_10_9,50,5000,1500,250000,250000,101512,5271
rk-eda,tai50_10_9,50,50,15,250000,250000,103153,59
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1246875,7380
rk-eda,tai100_10_9,100,10000,5000,1000000,1000000,351849,48121
rk-eda,tai20_20_8,20,20,4,40000,40000,35554,2
rk-eda,tai20_5_8,20,2000,1000,40000,40000,15560,61
rk-eda,tai20_5_8,20,200,100,40000,40000,16074,5
rk-eda,tai20_20_8,20,20,4,40000,40000,35881,1
rk-eda,tai200_10_9,200,2000,1000,4000000,4000000,1251993,130911
rk-eda,tai20_20_8,20,2000,1000,40000,40000,35123,263
rk-eda,tai100_10_9,100,100,30,1000000,1000000,359017,520
rk-eda,tai20_20_8,20,200,60,40000,40000,35550,14
rk-eda,tai100_10_9,100,10000,5000,1000000,1000000,353221,51130
rk-eda,tai20_20_8,20,2000,400,40000,40000,35241,151
rk-eda,tai50_10_9,50,500,150,250000,250000,102311,324
rk-eda,tai20_5_8,20,200,60,40000,40000,15229,5
rk-eda,tai20_20_8,20,2000,1000,40000,40000,35201,152
rk-eda,tai100_10_9,100,1000,500,1000000,1000000,353509,8666
rk-eda,tai20_5_8,20,20,10,40000,40000,16339,0
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1264706,7664
rk-eda,tai20_20_8,20,200,100,40000,40000,35616,15
rk-eda,tai20_5_8,20,20,4,40000,40000,16041,0
rk-eda,tai20_20_8,20,2000,600,40000,40000,35306,153
rk-eda,tai20_5_8,20,20,10,40000,40000,16712,1
rk-eda,tai50_10_9,50,50,10,250000,250000,102095,37
rk-eda,tai100_10_9,100,10000,3000,1000000,1000000,349758,48026
rk-eda,tai20_5_8,20,200,100,40000,40000,16004,10
rk-eda,tai20_5_8,20,2000,1000,40000,40000,15629,55
rk-eda,tai20_5_8,20,20,4,40000,40000,16185,1
rk-eda,tai20_5_8,20,2000,600,40000,40000,15642,100
rk-eda,tai50_10_9,50,5000,1000,250000,250000,101926,3144
rk-eda,tai20_5_8,20,200,60,40000,40000,15576,9
rk-eda,tai20_20_8,20,200,60,40000,40000,35788,27
rk-eda,tai200_10_9,200,200,100,4000000,4000000,1267814,13686
rk-eda,tai20_20_8,20,20,10,40000,40000,36473,2
rk-eda,tai50_10_9,50,50,25,250000,250000,104113,32
rk-eda,tai20_5_8,20,2000,1000,40000,40000,15755,62
rk-eda,tai20_20_8,20,200,100,40000,40000,35431,15
rk-eda,tai20_5_8,20,20,10,40000,40000,16103,1
rk-eda,tai100_10_9,100,1000,300,1000000,1000000,353166,9907
rk-eda,tai20_5_8,20,200,100,40000,40000,15897,5
rk-eda,tai20_20_8,20,20,10,40000,40000,36389,2
rk-eda,tai20_5_8,20,2000,600,40000,40000,15481,100
rk-eda,tai200_10_9,200,200,40,4000000,4000000,1251297,7479
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1254825,7693
rk-eda,tai20_20_8,20,20,6,40000,40000,36157,2
rk-eda,tai20_5_8,20,200,100,40000,40000,16073,10
rk-eda,tai50_10_9,50,500,250,250000,250000,102688,331
rk-eda,tai100_10_9,100,1000,300,1000000,1000000,353416,5175
rk-eda,tai200_10_9,200,200,40,4000000,4000000,1261846,7883
rk-eda,tai20_5_8,20,200,60,40000,40000,15815,10
rk-eda,tai20_20_8,20,200,100,40000,40000,35685,27
rk-eda,tai100_10_9,100,10000,2000,1000000,1000000,349390,48124
rk-eda,tai20_20_8,20,20,4,40000,40000,36066,2
rk-eda,tai20_5_8,20,2000,600,40000,40000,15633,103
rk-eda,tai50_10_9,50,50,25,250000,250000,103960,32
rk-eda,tai20_5_8,20,20,6,40000,40000,15827,0
rk-eda,tai200_10_9,200,2000,1000,4000000,4000000,1254326,73697
rk-eda,tai200_10_9,200,200,40,4000000,4000000,1254341,7891
rk-eda,tai50_10_9,50,50,10,250000,250000,105785,33
rk-eda,tai100_10_9,100,1000,200,1000000,1000000,353622,5024
rk-eda,tai100_10_9,100,10000,3000,1000000,1000000,350022,50361
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1243114,108417
rk-eda,tai20_5_8,20,2000,600,40000,40000,15565,52
rk-eda,tai100_10_9,100,100,50,1000000,1000000,358774,1019
rk-eda,tai20_5_8,20,200,100,40000,40000,15905,10
rk-eda,tai100_10_9,100,10000,5000,1000000,1000000,350902,47221
rk-eda,tai50_10_9,50,500,100,250000,250000,104087,331
rk-eda,tai50_10_9,50,50,10,250000,250000,104469,39
rk-eda,tai100_10_9,100,100,30,1000000,1000000,354852,1030
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1253619,7516
rk-eda,tai100_10_9,100,10000,2000,1000000,1000000,350075,83646
rk-eda,tai50_10_9,50,500,250,250000,250000,103889,327
rk-eda,tai100_10_9,100,10000,2000,1000000,1000000,350263,57955
rk-eda,tai50_10_9,50,5000,1000,250000,250000,101404,3222
rk-eda,tai20_5_8,20,20,4,40000,40000,15992,1
rk-eda,tai20_5_8,20,200,40,40000,40000,15828,5
rk-eda,tai20_20_8,20,2000,600,40000,40000,35376,274
rk-eda,tai20_5_8,20,200,40,40000,40000,15844,10
rk-eda,tai200_10_9,200,2000,1000,4000000,4000000,1250203,106137
rk-eda,tai50_10_9,50,500,150,250000,250000,103155,330
rk-eda,tai20_20_8,20,2000,600,40000,40000,35434,275
rk-eda,tai50_10_9,50,5000,2500,250000,250000,101822,3195
rk-eda,tai200_10_9,200,200,40,4000000,4000000,1255175,7268
rk-eda,tai100_10_9,100,100,30,1000000,1000000,356704,583
rk-eda,tai100_10_9,100,100,50,1000000,1000000,358108,886
rk-eda,tai200_10_9,200,2000,1000,4000000,4000000,1254931,71717
rk-eda,tai20_5_8,20,20,10,40000,40000,15819,1
rk-eda,tai50_10_9,50,500,100,250000,250000,102937,497
rk-eda,tai100_10_9,100,100,30,1000000,1000000,357008,868
rk-eda,tai20_20_8,20,2000,1000,40000,40000,34992,263
rk-eda,tai20_5_8,20,20,6,40000,40000,16075,1
rk-eda,tai20_20_8,20,20,10,40000,40000,37027,3
rk-eda,tai50_10_9,50,500,150,250000,250000,103846,316
rk-eda,tai20_20_8,20,2000,400,40000,40000,35276,271
rk-eda,tai20_5_8,20,2000,400,40000,40000,15470,53
rk-eda,tai50_10_9,50,500,250,250000,250000,104050,326
rk-eda,tai20_5_8,20,200,60,40000,40000,16039,9
rk-eda,tai20_5_8,20,2000,1000,40000,40000,15732,104
rk-eda,tai100_10_9,100,1000,500,1000000,1000000,356221,10067
rk-eda,tai50_10_9,50,5000,1500,250000,250000,102661,2970
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1263925,12741
rk-eda,tai100_10_9,100,100,30,1000000,1000000,353943,1001
rk-eda,tai20_5_8,20,20,10,40000,40000,16426,1
rk-eda,tai100_10_9,100,10000,5000,1000000,1000000,350577,44057
rk-eda,tai100_10_9,100,1000,200,1000000,1000000,350759,8918
rk-eda,tai20_5_8,20,2000,1000,40000,40000,15740,65
rk-eda,tai50_10_9,50,500,150,250000,250000,103834,329
rk-eda,tai100_10_9,100,100,50,1000000,1000000,356062,506
rk-eda,tai100_10_9,100,1000,500,1000000,1000000,354414,5087
rk-eda,tai20_20_8,20,2000,1000,40000,40000,35389,276
rk-eda,tai20_5_8,20,20,4,40000,40000,16229,1
rk-eda,tai200_10_9,200,200,100,4000000,4000000,1255934,8028
rk-eda,tai50_10_9,50,500,100,250000,250000,103794,336
rk-eda,tai20_20_8,20,20,6,40000,40000,36012,2
rk-eda,tai100_10_9,100,100,30,1000000,1000000,356559,498
rk-eda,tai100_10_9,100,10000,2000,1000000,1000000,351002,46348
rk-eda,tai50_10_9,50,500,100,250000,250000,103423,323
