instance,repetition,algorithm,best fitness,elapsed time in secs,pop size,trunc size
N-stabu70,1812224,PLEDA,357852.000,2495.373,6000,3000
N-t59b11xx,363041,PLEDA,208145.000,885.748,4400,2200
N-be75eec,165671,PLEDA,233309.000,554.313,5000,1000
N-t59b11xx,885220,PLEDA,208215.000,541.455,4400,880
N-stabu1_250,7019510,PLEDA,7453159.000,152715.793,25000,5000
N-be75eec_150,127214,PLEDA,3243955.000,9027.058,150,30
N-stabu1_250,1424636,PLEDA,7472761.000,354147.722,2500,750
N-be75eec,4228569,PLEDA,233478.000,1462.777,500,250
N-t59b11xx,4332496,PLEDA,208145.000,371.307,4400,880
N-stabu1_250,708112,PLEDA,7447259.000,138302.289,25000,5000
N-t59b11xx,2411813,PLEDA,208475.000,1518.089,440,220
N-stabu1_250,2111099,PLEDA,7383348.000,272426.815,250,125
N-be75eec,3111644,PLEDA,234018.000,593.010,500,100
N-stabu1_250,3326291,PLEDA,7448927.000,269533.885,2500,1250
N-stabu1_250,255924,PLEDA,7459904.000,129169.447,25000,5000
N-be75eec,888452,PLEDA,233123.000,550.492,5000,1000
N-stabu70,622708,PLEDA,358053.000,1406.223,6000,1800
N-stabu70,8432759,PLEDA,355380.000,2945.300,60,30
N-stabu1_250,8227233,PLEDA,7274653.000,37489.238,250,50
N-be75eec_150,2523085,PLEDA,3345299.000,53235.796,15000,3000
N-be75eec_150,357882,PLEDA,3339142.000,38087.819,15000,4500
N-be75eec,8532241,PLEDA,233875.000,585.616,500,100
N-t59b11xx,3913047,PLEDA,208360.000,200.673,44,22
N-stabu70,2121251,PLEDA,358925.000,1888.370,60,30
N-be75eec,1314259,PLEDA,233772.000,592.705,500,100
N-stabu70,8230133,PLEDA,354350.000,168.599,60,12
N-be75eec,4329945,PLEDA,233123.000,1044.199,5000,1000
N-be75eec_150,1811174,PLEDA,3334876.000,62643.208,15000,7500
N-be75eec_150,6729649,PLEDA,3337108.000,21400.316,1500,300
N-be75eec,8031204,PLEDA,233141.000,1306.827,5000,1500
N-be75eec,7024848,PLEDA,233127.000,749.961,5000,1000
N-stabu70,8920438,PLEDA,357680.000,1436.015,6000,1800
N-stabu1_250,5922492,PLEDA,7451872.000,140689.294,2500,750
N-stabu1_250,7118141,PLEDA,7434584.000,222043.769,25000,7500
N-stabu1_250,7511370,PLEDA,7358065.000,177783.432,250,125
N-stabu70,289131,PLEDA,354205.000,169.138,60,12
N-stabu70,4626950,PLEDA,351506.000,248.501,60,12
N-stabu70,3026107,PLEDA,356950.000,1902.392,60,30
N-be75eec,8518926,PLEDA,232665.000,586.987,500,100
N-t59b11xx,44459,PLEDA,208620.000,398.437,440,88
N-stabu70,2629472,PLEDA,357658.000,1513.703,6000,1800
N-be75eec_150,44901,PLEDA,3339152.000,40714.565,15000,4500
N-be75eec,7122913,PLEDA,233249.000,1300.548,5000,1500
N-stabu1_250,5916165,PLEDA,7479802.000,174343.648,2500,750
