,instance,repetition,algorithm,lambda,alpha,best fitness,evals,elapsed time in secs
349,N-be75eec,8,PL,10000,0.5,233051,2257199,13.603
350,N-be75eec,1,PL,1000,0.9,234151,1977767,13.72
352,N-be75eec,7,PL,1000,0.9,234195,1966669,13.46
354,N-be75eec,2,PL,1000,0.1,233420,2360569,20.251
361,N-be75eec,4,PL,10000,0.5,232761,2404284,13.646
362,N-be75eec,7,PL,1000,0.75,234182,2187841,13.638
367,N-be75eec,3,PL,10000,0.1,228662,2316443,12.82
368,N-be75eec,5,PL,1000,0.9,234089,2035729,18.229
370,N-be75eec,10,PL,10000,0.1,228472,2241686,13.823
371,N-be75eec,3,PL,10000,0.05,223900,1990802,19.385
373,N-be75eec,2,PL,1000,0.75,234196,1461520,26.137
379,N-be75eec,6,PL,1000,0.75,234171,2242035,12.979
380,N-be75eec,8,PL,1000,0.1,233364,1941904,23.024
382,N-be75eec,1,PL,10000,0.01,206723,1958360,13.347
383,N-be75eec,8,PL,1000,0.5,234128,2300375,20.359
384,N-be75eec,3,PL,1000,0.75,234092,2118605,20.177
386,N-be75eec,3,PL,10000,0.001,197716,850164,23.666
387,N-be75eec,6,PL,10000,0.05,224405,2442291,12.735
391,N-be75eec,8,PL,10000,0.01,210603,2467672,12.591
392,N-be75eec,6,PL,10000,0.1,228322,2483217,22.775
399,N-be75eec,1,PL,10000,0.05,223714,2147241,14.442
400,N-be75eec,9,PL,10000,0.01,209372,2469610,13.146
401,N-be75eec,8,PL,10000,0.001,202055,2478584,13.118
411,N-be75eec,5,PL,10000,0.01,210042,2080116,13.223
412,N-be75eec,9,PL,10000,0.1,229069,2161095,14.275
413,N-be75eec,5,PL,10000,0.9,233327,2120448,16.376
417,N-be75eec,7,PL,10000,0.01,207699,2140934,13.769
418,N-be75eec,1,PL,10000,0.5,232657,1899326,19.994
420,N-be75eec,10,PL,10000,0.01,207098,2229130,25.517
422,N-be75eec,1,PL,10000,0.9,233400,2493650,13.648
