id,date,problem,instance,iterations,model,pop size,trunc size,min,elapsed time in secs
08fdf3c3-1459-4cf0-8140-e6000b8039c0,2023-9-27 13:29,PFSP,tai50_10_9.fsp,5000,vj-inv,50,0.3,99612,4
0946a35e-e19e-4957-939f-b4768cda7ccf,2023-9-28 16:13,PFSP,tai20_20_8.fsp,2000,vj-inv,2000,0.5,33644,68
095e8abc-947e-459d-b8cb-1ff0ac0f7771,2023-9-27 17:12,PFSP,tai200_10_9.fsp,20000,vj-inv,2000,0.5,1123657,5450
0a43a16a-d4d3-44be-b649-e2f1fb1246ee,2023-9-28 16:14,PFSP,tai20_20_8.fsp,2000,vj-inv,2000,0.3,33644,129
0b11ccb4-24d0-456b-afcc-e7593849bb55,2023-9-28 15:55,PFSP,tai20_5_8.fsp,2000,vj-inv,200,0.2,14465,1
0baded29-a474-4d05-b6a3-28bf6b7393ef,2023-9-27 16:27,PFSP,tai200_10_9.fsp,20000,vj-inv,2000,0.2,1148006,2758
0bc1285b-a04b-48d3-b95f-42c801c45859,2023-9-28 16:12,PFSP,tai20_20_8.fsp,2000,vj-inv,200,0.2,33761,2
0c3add4d-824e-4014-bbdf-2790b2262231,2023-9-27 15:41,PFSP,tai100_10_9.fsp,10000,vj-inv,100,0.2,343155,38
0c994ba8-b7bb-40ba-83e9-968c858568be,2023-9-28 15:55,PFSP,tai20_5_8.fsp,2000,vj-inv,20,0.2,15320,0
0c9ccc9e-0411-492d-b8a1-6cab1161fd86,2023-9-28 8:10,PFSP,tai200_10_9.fsp,20000,vj-inv,20000,0.2,1090093,59380
0cb11d42-cbcc-4107-9bc4-052f9064c050,2023-9-27 13:29,PFSP,tai50_10_9.fsp,5000,vj-inv,50,0.5,99067,2
0cbb5e32-5126-4c59-900e-0323a422fad3,2023-9-28 16:42,PFSP,tai50_10_9.fsp,5000,vj-inv,5000,0.2,89908,1752
0d37917f-0a80-403c-bd7e-a975c64002ad,2023-9-28 8:9,PFSP,tai200_10_9.fsp,20000,vj-inv,20000,0.2,1082207,59317
0d6211c3-f5f5-453d-a13a-c5a4212f0e4f,2023-9-27 15:41,PFSP,tai100_10_9.fsp,10000,vj-inv,100,0.3,340516,40
0d697619-0ae4-433c-84da-8e7a182600d4,2023-9-29 22:59,PFSP,tai200_10_9.fsp,20000,vj-inv,20000,0.5,1083441,110681
0d79097d-7b29-4b98-a3bc-e7e7d3b27eaa,2023-9-27 13:29,PFSP,tai20_20_8.fsp,2000,vj-inv,20,0.5,34463,0
0d920bdb-fd1a-4b32-a364-c2dab12fc195,2023-9-28 16:21,PFSP,tai100_10_9.fsp,10000,vj-inv,1000,0.5,313777,522
0dbb0c14-2f38-492c-8010-46445a4a64c0,2023-9-27 13:31,PFSP,tai20_20_8.fsp,2000,vj-inv,2000,0.2,33644,127
0e5c77bc-f714-421a-b666-c92908dd8220,2023-9-30 1:58,PFSP,tai200_10_9.fsp,20000,vj-inv,20000,0.5,1082178,121473
0e87f841-3155-47d5-b75d-ba6a330031cb,2023-9-28 16:17,PFSP,tai100_10_9.fsp,10000,vj-inv,1000,0.2,322130,259
0f0fcfed-c98d-47c6-9757-985c66dc9363,2023-9-27 14:12,PFSP,tai50_10_9.fsp,5000,vj-inv,5000,0.5,91043,2573
0f98c078-cefa-4443-b6bc-80227972b5a5,2023-9-28 17:10,PFSP,tai50_10_9.fsp,5000,vj-inv,5000,0.3,89979,3445
0fa90c4f-85e4-438b-bd32-80326d0ea40b,2023-9-28 16:13,PFSP,tai100_10_9.fsp,10000,vj-inv,100,0.3,337693,24
104b3f1e-7191-404b-9e34-5cdeb276d0db,2023-9-27 13:31,PFSP,tai20_20_8.fsp,2000,vj-inv,2000,0.5,33644,116
10fcfbfa-5b67-4de8-86f0-d08d7988ca8e,2023-9-28 16:13,PFSP,tai20_20_8.fsp,2000,vj-inv,2000,0.5,33644,67
110de7bb-f256-4892-a627-8300cabce647,2023-9-28 16:13,PFSP,tai50_10_9.fsp,5000,vj-inv,50,0.5,99180,4
120d1240-43ac-406f-8508-65009569a0c5,2023-9-28 17:10,PFSP,tai200_10_9.fsp,20000,vj-inv,2000,0.3,1133501,3106
12315244-8043-4066-a671-b8a857c5bd82,2023-9-28 16:14,PFSP,tai20_20_8.fsp,2000,vj-inv,2000,0.5,33644,130
12aca0c2-43fb-4549-83a2-e4b5dded55ad,2023-9-28 5:42,PFSP,tai100_10_9.fsp,10000,vj-inv,10000,0.2,296451,50520
13b02cc0-f55f-46e0-b348-a03406507d42,2023-9-27 15:45,PFSP,tai100_10_9.fsp,10000,vj-inv,1000,0.3,316584,279
13fa3a2e-c5b1-4244-94e7-444b9418c830,2023-9-27 13:31,PFSP,tai20_5_8.fsp,2000,vj-inv,2000,0.3,14353,132
14067dfc-e8dc-4b06-9cb2-baef460a1cd0,2023-9-27 13:29,PFSP,tai20_5_8.fsp,2000,vj-inv,20,0.2,15336,0
1427ca61-76f4-4ff0-8042-9b161b3427fa,2023-9-28 3:41,PFSP,tai100_10_9.fsp,10000,vj-inv,10000,0.5,296129,43220
14388f51-c107-4653-90e7-da5710cba5dd,2023-9-27 13:29,PFSP,tai20_20_8.fsp,2000,vj-inv,200,0.2,33813,2
14534dd0-cb02-410d-a3d2-cb51791d5d70,2023-9-27 15:48,PFSP,tai100_10_9.fsp,10000,vj-inv,1000,0.3,317943,477
1456bea8-0525-4c0a-b0c2-7ec42f2116a1,2023-9-27 15:46,PFSP,tai100_10_9.fsp,10000,vj-inv,1000,0.5,314588,315
14a645b5-bd6f-423f-b817-d5e6d78b7dbe,2023-9-28 16:13,PFSP,tai50_10_9.fsp,5000,vj-inv,50,0.5,98386,4
14d69d1f-8d92-4adf-a979-26cc1d8c247c,2023-9-28 17:38,PFSP,tai200_10_9.fsp,20000,vj-inv,2000,0.2,1145004,4633
154e3d54-2cfa-460a-af45-98f4d83a9a3e,2023-9-28 15:57,PFSP,tai20_5_8.fsp,2000,vj-inv,2000,0.3,14499,133
1582b8a1-e520-4bda-8b95-026a58f38e1f,2023-9-27 13:29,PFSP,tai20_5_8.fsp,2000,vj-inv,20,0.2,15296,0
15b36b34-e022-4654-9c5a-d03af75de6b5,2023-9-28 16:42,PFSP,tai50_10_9.fsp,5000,vj-inv,5000,0.2,90660,1752
15eb226c-4001-4ceb-84a1-fa54b07e518b,2023-9-28 9:22,PFSP,tai200_10_9.fsp,20000,vj-inv,20000,0.3,1073661,63662
15f9efbe-03c3-45e5-8823-07b32941623d,2023-9-27 13:29,PFSP,tai20_20_8.fsp,2000,vj-inv,200,0.3,33697,4
